Membership No  Date Joined  Active  
    39163      2018-9-23    no    
    70827      2017-5-3     no    
    69948      2015-3-14    yes   
    30996      2015-9-16    no    
    72987      2017-1-24    yes   
    74432      2019-3-11    no    
    63501      2017-12-15   yes   
    88249      2018-7-16    no    
    47445      2017-9-16    yes   
    87146      2016-11-13   no    
    64732      2019-10-20   yes   
    81343      2019-9-19    no    
    75922      2018-10-3    yes   
    10304      2018-2-2     no    
    13815      2016-3-14    yes   
    77571      2017-4-1     no    
    88425      2018-10-21   yes   
    55806      2019-7-16    yes   
    30079      2015-1-6     yes   
    81394      2015-6-22    yes   
